Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
109             ,   78 06 02 ,  100 21 49,      2.934,      0.000,      0.000,        2.825,        0.595,     -0.528
110             ,   92 12 59 ,   97 50 25,      2.810,      0.000,      0.000,        2.782,       -0.108,     -0.383
111             ,   92 13 01 ,  106 35 33,      2.594,      0.000,      0.000,        2.484,       -0.096,     -0.741
112             ,   93 56 26 ,  116 23 22,      2.444,      0.000,      0.000,        2.184,       -0.150,     -1.086
113             ,   93 56 27 ,  128 54 16,      2.372,      0.000,      0.000,        1.841,       -0.127,     -1.490
114             ,  110 17 55 ,  126 25 27,      2.377,      0.000,      0.000,        1.794,       -0.663,     -1.411
115             ,  107 53 11 ,  115 41 21,      2.441,      0.000,      0.000,        2.093,       -0.676,     -1.058
116             ,  105 57 25 ,  108 41 40,      2.531,      0.000,      0.000,        2.305,       -0.659,     -0.811
117             ,  105 24 18 ,   95 08 03,      2.866,      0.000,      0.000,        2.752,       -0.758,     -0.256
118             ,   60 23 49 ,  100 52 00,      3.454,      0.000,      0.000,        2.950,        1.676,     -0.651
119             ,   60 33 27 ,   93 12 24,      3.618,      0.000,      0.000,        3.146,        1.776,     -0.202
120             ,   69 26 43 ,   99 45 09,      3.152,      0.000,      0.000,        2.908,        1.091,     -0.534
121             ,   71 08 36 ,   92 39 13,      3.235,      0.000,      0.000,        3.058,        1.044,     -0.150
122             ,   73 37 21 ,   81 22 51,      3.491,      0.000,      0.000,        3.311,        0.973,      0.523
123             ,   77 05 19 ,   69 53 21,      3.942,      0.000,      0.000,        3.609,        0.827,      1.356
124             ,   84 49 44 ,   66 43 48,      3.951,      0.000,      0.000,        3.615,        0.327,      1.561
125             ,   84 49 44 ,   75 30 39,      3.471,      0.000,      0.000,        3.347,        0.303,      0.868
126             ,   84 49 45 ,   85 32 00,      3.120,      0.000,      0.000,        3.098,        0.280,      0.243
127             ,   84 55 32 ,   96 55 16,      2.891,      0.000,      0.000,        2.859,        0.254,     -0.348
128             ,   94 51 32 ,   96 05 23,      2.836,      0.000,      0.000,        2.810,       -0.239,     -0.301
129             ,   94 09 49 ,   87 10 03,      2.999,      0.000,      0.000,        2.987,       -0.217,      0.148
130             ,   92 58 32 ,   79 05 21,      3.240,      0.000,      0.000,        3.177,       -0.165,      0.613
131             ,   92 58 44 ,   70 56 23,      3.595,      0.000,      0.000,        3.393,       -0.177,      1.174
132             ,   92 58 43 ,   64 37 48,      3.996,      0.000,      0.000,        3.605,       -0.188,      1.712
133             ,  101 33 05 ,   62 27 37,      4.166,      0.000,      0.000,        3.619,       -0.740,      1.926
134             ,  102 20 08 ,   68 42 34,      3.732,      0.000,      0.000,        3.397,       -0.743,      1.355
135             ,  102 20 06 ,   78 13 36,      3.275,      0.000,      0.000,        3.132,       -0.685,      0.668
136             ,  102 15 58 ,   90 31 00,      2.934,      0.000,      0.000,        2.867,       -0.623,     -0.026
137             ,  100 20 11 ,   60 19 42,      4.285,      0.000,      0.000,        3.662,       -0.668,      2.121
138             ,   87 01 00 ,   63 00 59,      4.099,      0.000,      0.000,        3.648,        0.190,      1.860
139             ,   77 12 07 ,   67 53 16,      4.029,      0.000,      0.000,        3.640,        0.827,      1.517
140             ,   80 09 19 ,   59 00 04,      4.343,      0.000,      0.000,        3.668,        0.637,      2.237
141             ,   82 23 29 ,   54 08 07,      4.589,      0.000,      0.000,        3.686,        0.492,      2.689
142             ,  100 26 35 ,   54 52 15,      4.584,      0.000,      0.000,        3.687,       -0.680,      2.638
143             ,  100 26 26 ,   58 24 26,      4.382,      0.000,      0.000,        3.671,       -0.676,      2.296
144             ,   93 40 55 ,   57 59 19,      4.334,      0.000,      0.000,        3.668,       -0.236,      2.298
145             ,   93 50 43 ,   49 31 17,      4.881,      0.000,      0.000,        3.704,       -0.249,      3.168
146             ,  100 42 25 ,   49 22 21,      4.979,      0.000,      0.000,        3.713,       -0.702,      3.242
147             ,   86 19 37 ,   44 14 43,      5.367,      0.000,      0.000,        3.737,        0.240,      3.844
148             ,   76 35 48 ,   41 46 00,      5.751,      0.000,      0.000,        3.726,        0.888,      4.289
149             ,   76 35 53 ,   38 11 07,      5.991,      0.000,      0.000,        3.603,        0.858,      4.709
150             ,   75 30 42 ,   34 57 17,      6.270,      0.000,      0.000,        3.478,        0.899,      5.139
151             ,   71 17 10 ,   35 13 28,      6.347,      0.000,      0.000,        3.467,        1.175,      5.185
152             ,   72 09 27 ,   39 57 24,      5.965,      0.000,      0.000,        3.646,        1.174,      4.572
153             ,   72 15 24 ,   43 39 13,      5.698,      0.000,      0.000,        3.746,        1.199,      4.123
154             ,   71 54 18 ,   42 47 03,      5.790,      0.000,      0.000,        3.738,        1.222,      4.250
155             ,   71 54 25 ,   39 17 00,      6.018,      0.000,      0.000,        3.622,        1.183,      4.658
156             ,   71 54 14 ,   35 18 41,      6.325,      0.000,      0.000,        3.475,        1.136,      5.161
157             ,   75 31 49 ,   35 22 46,      6.233,      0.000,      0.000,        3.494,        0.902,      5.082
158             ,   76 40 38 ,   37 52 38,      6.012,      0.000,      0.000,        3.592,        0.851,      4.745
159             ,   77 54 54 ,   41 28 23,      5.746,      0.000,      0.000,        3.721,        0.797,      4.305
160             ,   85 28 31 ,   41 28 24,      5.660,      0.000,      0.000,        3.737,        0.296,      4.241
161             ,   85 28 34 ,   39 18 48,      5.804,      0.000,      0.000,        3.666,        0.290,      4.491
162             ,   85 28 33 ,   37 16 45,      5.955,      0.000,      0.000,        3.595,        0.284,      4.738
163             ,   87 56 13 ,   41 16 22,      5.663,      0.000,      0.000,        3.733,        0.134,      4.256
164             ,   87 56 10 ,   38 45 05,      5.836,      0.000,      0.000,        3.651,        0.132,      4.551
165             ,   87 56 08 ,   37 23 32,      5.938,      0.000,      0.000,        3.603,        0.130,      4.717
166             ,  112 01 52 ,  110 43 54,      2.155,      0.000,      0.000,        1.868,       -0.756,     -0.763
167             ,  107 49 35 ,   97 29 58,      2.543,      0.000,      0.000,        2.400,       -0.772,     -0.332
168             ,  105 34 30 ,   79 38 14,      2.998,      0.000,      0.000,        2.841,       -0.792,      0.539
169             ,  103 54 59 ,   66 29 13,      3.648,      0.000,      0.000,        3.247,       -0.805,      1.455
170             ,  103 03 45 ,   60 00 41,      4.180,      0.000,      0.000,        3.527,       -0.818,      2.089
171             ,  103 03 54 ,   53 49 24,      4.528,      0.000,      0.000,        3.560,       -0.826,      2.673
172             ,  103 10 53 ,   51 11 52,      4.665,      0.000,      0.000,        3.540,       -0.829,      2.923
173             ,  106 55 28 ,   44 50 03,      4.001,      0.000,      0.000,        2.699,       -0.821,      2.838
174             ,  106 55 28 ,   52 51 56,      3.469,      0.000,      0.000,        2.646,       -0.805,      2.094
175             ,  108 43 15 ,   60 18 45,      2.860,      0.000,      0.000,        2.353,       -0.797,      1.416
176             ,  110 19 02 ,   67 10 29,      2.474,      0.000,      0.000,        2.138,       -0.792,      0.960
177             ,  111 33 05 ,   77 38 55,      2.170,      0.000,      0.000,        1.972,       -0.779,      0.464
178             ,  112 23 55 ,   90 57 54,      2.023,      0.000,      0.000,        1.871,       -0.771,     -0.034
179             ,  112 23 54 ,  110 01 53,      2.115,      0.000,      0.000,        1.837,       -0.757,     -0.724
180             ,  118 50 54 ,  128 14 37,      1.969,      0.000,      0.000,        1.354,       -0.746,     -1.219
181             ,  127 26 36 ,  137 04 07,      1.805,      0.000,      0.000,        0.976,       -0.748,     -1.322
182             ,  127 26 30 ,  118 12 35,      1.437,      0.000,      0.000,        1.005,       -0.770,     -0.679
183             ,  127 26 28 ,   97 24 58,      1.297,      0.000,      0.000,        1.021,       -0.782,     -0.167
184             ,  127 26 20 ,   70 16 13,      1.387,      0.000,      0.000,        1.037,       -0.794,      0.468
185             ,  122 42 12 ,   54 21 49,      1.827,      0.000,      0.000,        1.250,       -0.802,      1.065
186             ,  122 42 15 ,   45 03 13,      2.116,      0.000,      0.000,        1.260,       -0.809,      1.495
187             ,  120 29 53 ,   37 29 19,      2.637,      0.000,      0.000,        1.383,       -0.814,      2.092
188             ,  118 02 13 ,   31 13 12,      3.410,      0.000,      0.000,        1.560,       -0.831,      2.916
189             ,  116 16 02 ,   27 02 13,      4.264,      0.000,      0.000,        1.738,       -0.858,      3.798
190             ,  115 05 49 ,   24 17 09,      5.027,      0.000,      0.000,        1.872,       -0.877,      4.582
191             ,  114 28 05 ,   22 29 45,      5.590,      0.000,      0.000,        1.947,       -0.886,      5.165
192             ,  149 25 05 ,  145 48 07,      1.567,      0.000,      0.000,        0.448,       -0.758,     -1.296
193             ,  149 25 06 ,  129 16 38,      1.163,      0.000,      0.000,        0.458,       -0.775,     -0.736
194             ,  149 25 01 ,   95 57 51,      0.919,      0.000,      0.000,        0.465,       -0.787,     -0.096
195             ,  149 25 09 ,   54 41 32,      1.142,      0.000,      0.000,        0.474,       -0.802,      0.660
196             ,  149 25 11 ,   38 23 24,      1.516,      0.000,      0.000,        0.479,       -0.811,      1.189
197             ,  149 25 08 ,   27 39 50,      2.052,      0.000,      0.000,        0.485,       -0.820,      1.818
198             ,  144 35 18 ,   19 38 23,      3.044,      0.000,      0.000,        0.593,       -0.834,      2.867
199             ,  142 06 36 ,   14 46 16,      4.311,      0.000,      0.000,        0.675,       -0.868,      4.169
200             ,  222 32 41 ,  140 37 53,      1.656,      0.000,      0.000,       -0.710,       -0.774,     -1.280
201             ,  222 32 39 ,  113 44 27,      1.163,      0.000,      0.000,       -0.720,       -0.784,     -0.468
202             ,  222 32 42 ,   82 27 18,      1.090,      0.000,      0.000,       -0.731,       -0.796,      0.143
203             ,  222 32 47 ,   51 38 38,      1.397,      0.000,      0.000,       -0.741,       -0.807,      0.867
204             ,  222 32 46 ,   35 35 57,      1.899,      0.000,      0.000,       -0.747,       -0.814,      1.544
205             ,  222 32 47 ,   25 51 07,      2.578,      0.000,      0.000,       -0.760,       -0.828,      2.320
206             ,  222 32 49 ,   21 10 18,      3.161,      0.000,      0.000,       -0.772,       -0.841,      2.948
207             ,  226 06 23 ,   17 43 20,      4.051,      0.000,      0.000,       -0.889,       -0.855,      3.859
208             ,  245 26 47 ,  120 02 34,      2.168,      0.000,      0.000,       -1.707,       -0.780,     -1.085
209             ,  245 26 46 ,   95 53 40,      1.922,      0.000,      0.000,       -1.739,       -0.794,     -0.197
210             ,  245 26 49 ,   73 23 44,      2.025,      0.000,      0.000,       -1.765,       -0.806,      0.579
211             ,  245 26 49 ,   59 05 26,      2.283,      0.000,      0.000,       -1.781,       -0.814,      1.173
212             ,  245 26 52 ,   43 34 33,      2.894,      0.000,      0.000,       -1.814,       -0.829,      2.097
213             ,  245 26 52 ,   34 41 08,      3.593,      0.000,      0.000,       -1.860,       -0.850,      2.955
214             ,  254 24 48 ,  100 36 30,      3.008,      0.000,      0.000,       -2.848,       -0.794,     -0.554
215             ,  254 24 45 ,   90 28 25,      2.991,      0.000,      0.000,       -2.880,       -0.804,     -0.025
216             ,  254 05 09 ,   77 34 18,      3.043,      0.000,      0.000,       -2.858,       -0.815,      0.655
217             ,  254 05 24 ,   72 34 05,      3.136,      0.000,      0.000,       -2.877,       -0.820,      0.939
218             ,  253 32 31 ,   62 38 54,      3.296,      0.000,      0.000,       -2.807,       -0.829,      1.514
219             ,  253 32 31 ,   53 25 20,      3.702,      0.000,      0.000,       -2.851,       -0.842,      2.206
220             ,  253 06 59 ,   47 59 48,      3.933,      0.000,      0.000,       -2.796,       -0.849,      2.632
221             ,  252 38 22 ,   42 08 48,      4.293,      0.000,      0.000,       -2.750,       -0.860,      3.183
222             ,  256 59 15 ,  102 24 48,      3.177,      0.000,      0.000,       -3.023,       -0.699,     -0.683
223             ,  256 59 14 ,   93 30 06,      3.090,      0.000,      0.000,       -3.005,       -0.694,     -0.189
224             ,  256 59 17 ,   83 12 51,      3.085,      0.000,      0.000,       -2.985,       -0.690,      0.365
