Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
144             ,  287 25 17 ,   38 09 02,      2.102,      0.000,      0.000,       -1.239,        0.389,      1.653
145             ,  288 51 09 ,   85 21 44,      1.308,      0.000,      0.000,       -1.234,        0.421,      0.106
146             ,  288 51 08 ,  111 40 43,      1.400,      0.000,      0.000,       -1.232,        0.421,     -0.517
147             ,  288 51 13 ,  131 24 54,      1.725,      0.000,      0.000,       -1.224,        0.418,     -1.141
148             ,  313 28 01 ,  124 16 49,      2.037,      0.000,      0.000,       -1.222,        1.158,     -1.147
149             ,  313 28 00 ,  104 14 47,      1.739,      0.000,      0.000,       -1.223,        1.159,     -0.428
150             ,  313 28 00 ,   86 07 35,      1.693,      0.000,      0.000,       -1.226,        1.162,      0.114
151             ,  312 22 21 ,   68 14 01,      1.785,      0.000,      0.000,       -1.225,        1.117,      0.662
152             ,  312 22 38 ,   55 42 03,      2.013,      0.000,      0.000,       -1.228,        1.121,      1.134
153             ,  312 22 35 ,   45 09 58,      2.360,      0.000,      0.000,       -1.236,        1.128,      1.664
154             ,    5 52 27 ,  100 24 59,      4.337,      0.000,      0.000,        0.437,        4.243,     -0.784
155             ,   15 01 40 ,   97 20 00,      4.432,      0.000,      0.000,        1.140,        4.246,     -0.566
156             ,  345 38 20 ,  103 35 39,      4.488,      0.000,      0.000,       -1.082,        4.226,     -1.055
157             ,  319 18 00 ,   42 53 58,      2.561,      0.000,      0.000,       -1.137,        1.322,      1.876
158             ,  329 30 53 ,   40 18 47,      2.466,      0.000,      0.000,       -0.809,        1.375,      1.880
159             ,  339 12 01 ,   37 26 21,      2.373,      0.000,      0.000,       -0.512,        1.349,      1.884
160             ,  354 58 56 ,   35 57 40,      2.329,      0.000,      0.000,       -0.120,        1.362,      1.885
161             ,   10 32 36 ,   35 23 28,      2.291,      0.000,      0.000,        0.243,        1.304,      1.868
162             ,   24 05 15 ,   37 03 02,      2.336,      0.000,      0.000,        0.574,        1.285,      1.864
163             ,   34 14 20 ,   40 23 38,      2.443,      0.000,      0.000,        0.891,        1.309,      1.861
164             ,   44 03 52 ,   43 10 27,      2.548,      0.000,      0.000,        1.212,        1.253,      1.858
165             ,   49 48 09 ,   48 05 16,      2.759,      0.000,      0.000,        1.568,        1.325,      1.843
166             ,   54 57 47 ,   51 40 46,      2.955,      0.000,      0.000,        1.898,        1.331,      1.832
167             ,   67 22 10 ,   53 25 18,      3.136,      0.000,      0.000,        2.324,        0.969,      1.869
168             ,   58 58 38 ,   45 11 50,      2.656,      0.000,      0.000,        1.615,        0.971,      1.872
169             ,   46 51 07 ,   36 50 50,      2.345,      0.000,      0.000,        1.026,        0.962,      1.877
170             ,   19 34 37 ,   29 45 43,      2.158,      0.000,      0.000,        0.359,        1.009,      1.873
171             ,  341 33 29 ,   28 28 38,      2.146,      0.000,      0.000,       -0.324,        0.971,      1.887
172             ,  291 56 38 ,   32 49 50,      2.237,      0.000,      0.000,       -1.125,        0.453,      1.879
173             ,  336 14 01 ,   14 35 58,      1.946,      0.000,      0.000,       -0.198,        0.449,      1.883
174             ,   29 25 20 ,   14 35 58,      1.943,      0.000,      0.000,        0.241,        0.427,      1.880
175             ,   66 46 46 ,   30 42 40,      2.200,      0.000,      0.000,        1.032,        0.443,      1.891
176             ,   79 42 47 ,   49 32 02,      2.918,      0.000,      0.000,        2.184,        0.396,      1.894
177             ,   96 35 44 ,   49 13 40,      2.906,      0.000,      0.000,        2.186,       -0.253,      1.898
178             ,  101 07 54 ,   35 40 54,      2.333,      0.000,      0.000,        1.335,       -0.263,      1.895
179             ,  119 39 36 ,   16 48 44,      1.972,      0.000,      0.000,        0.496,       -0.282,      1.888
180             ,  206 31 04 ,   11 01 53,      1.920,      0.000,      0.000,       -0.164,       -0.329,      1.884
181             ,  254 22 41 ,   31 33 56,      2.204,      0.000,      0.000,       -1.111,       -0.311,      1.878
182             ,  221 24 54 ,   40 56 26,      2.489,      0.000,      0.000,       -1.079,       -1.223,      1.880
183             ,  190 35 11 ,   34 42 34,      2.285,      0.000,      0.000,       -0.239,       -1.279,      1.879
184             ,  161 15 21 ,   34 42 30,      2.284,      0.000,      0.000,        0.418,       -1.232,      1.878
185             ,  140 49 17 ,   39 37 28,      2.447,      0.000,      0.000,        0.986,       -1.210,      1.885
186             ,  122 11 50 ,   51 13 34,      3.003,      0.000,      0.000,        1.981,       -1.247,      1.881
187             ,  163 53 20 ,  138 49 30,      1.859,      0.000,      0.000,        0.340,       -1.176,     -1.399
188             ,  193 03 24 ,  138 16 23,      1.874,      0.000,      0.000,       -0.282,       -1.215,     -1.398
189             ,  220 58 41 ,  131 00 13,      2.131,      0.000,      0.000,       -1.055,       -1.214,     -1.398
190             ,  244 24 04 ,  137 51 00,      1.886,      0.000,      0.000,       -1.141,       -0.547,     -1.398
191             ,  131 42 24 ,  149 30 39,      1.626,      0.000,      0.000,        0.616,       -0.549,     -1.401
192             ,   99 45 34 ,  150 59 13,      1.598,      0.000,      0.000,        0.764,       -0.131,     -1.397
193             ,  262 25 39 ,  139 51 33,      1.826,      0.000,      0.000,       -1.167,       -0.155,     -1.396
194             ,  289 57 48 ,  139 01 11,      1.848,      0.000,      0.000,       -1.139,        0.414,     -1.395
195             ,  307 56 03 ,  146 15 13,      1.677,      0.000,      0.000,       -0.735,        0.573,     -1.394
196             ,  318 47 43 ,  129 44 35,      2.184,      0.000,      0.000,       -1.106,        1.263,     -1.396
197             ,  329 25 14 ,  132 50 02,      2.056,      0.000,      0.000,       -0.767,        1.298,     -1.398
198             ,  349 51 14 ,  137 00 30,      1.910,      0.000,      0.000,       -0.229,        1.282,     -1.397
199             ,   18 54 00 ,  135 51 39,      1.957,      0.000,      0.000,        0.441,        1.289,     -1.404
200             ,   39 22 16 ,  128 29 24,      2.257,      0.000,      0.000,        1.121,        1.366,     -1.405
201             ,   56 23 44 ,  140 55 30,      1.791,      0.000,      0.000,        0.940,        0.625,     -1.390
202             ,   69 24 40 ,  146 44 26,      1.666,      0.000,      0.000,        0.855,        0.321,     -1.393
203             ,  359 55 09 ,   89 32 39,      1.123,      0.000,      0.000,       -0.002,        1.123,      0.009
